si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
clemente 	  clemente 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
tagapangasiwa 	  pangasiwa 	  taga 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
asyenda 	  asyenda 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lalaking 	  lalaki 	  _ 	  _ 	  ng 	  _ 	NOUN
pinagbigyan 	  bigay 	  pinag 	  _ 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lupa 	  lupa 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
natagpuang 	  tagpo 	  na 	  _ 	  ang 	  _ 	VERB
bangkay 	  bangkay 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
basag 	  basag 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
ulo 	  ulo 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
sumpal 	  sumpal 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
lupa 	  lupa 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
bibig 	  big 	  _ 	  _ 	  _ 	  bi 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
bayan 	  bayan 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
natagpuan 	  tagpo 	  na 	  _ 	  an 	  _ 	VERB
ding 	  ding 	  _ 	  _ 	  _ 	  _ 	PART
bangkay 	  bangkay 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
asawa 	  asawa 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lalaki 	  lalaki 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
sumpal 	  sumpal 	  _ 	  _ 	  _ 	  _ 	NOUN
ding 	  ding 	  _ 	  _ 	  _ 	  _ 	PART
lupa 	  lupa 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
bibig 	  bibig 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
pugot 	  pugot 	  _ 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ulo 	  ulo 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tabi 	  tabi 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
papel 	  papel 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sinulatan 	  sulat 	  _ 	  in 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
daliring 	  daliri 	  _ 	  _ 	  ng 	  _ 	NOUN
isinawsaw 	  sawsaw 	  i 	  in 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dugo 	  dugo 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
salitang 	  salita 	  _ 	  _ 	  ng 	  _ 	NOUN
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
tales 	  tales 	  _ 	  _ 	  _ 	  _ 	PROPN
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
manahimik 	  tahimik 	  man 	  _ 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
mapayapang 	  payapa 	  ma 	  _ 	  ng 	  _ 	ADJ
taga-Kalamba 	  Kalamba 	  taga 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nilinis 	  linis 	  ni 	  _ 	  _ 	  _ 	VERB
ninyo 	  ninyo 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bukirin 	  bukirin 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
nag-impok 	  impok 	  nag 	  _ 	  _ 	  _ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
nagpuyat 	  puyat 	  nag 	  _ 	  _ 	  _ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
nagtipid 	  tipid 	  nag 	  _ 	  _ 	  _ 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
pagkatapos 	  tapos 	  pagka 	  _ 	  _ 	  _ 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
inagaw 	  agaw 	  in 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyo 	  inyo 	  _ 	  _ 	  _ 	  _ 	DET
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
pinalayas 	  layas 	  pa 	  in 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
tahanan 	  tahan 	  _ 	  _ 	  an 	  _ 	NOUN
